ID,species,year,month,sex,SL,mass,alleles,genotype,Gen_freq_all,Gen_freq_species,avg_freq_species,avg_freq_all,freq_rare_species,freq_rare_all,phenotype,num_supertype,supertype,freq_super_species,freq_super_all,gill,acantho,,,
GSF2303-EFCC16_6282019,fantail,2019,June,F,40.55,1.05,4,025/054/055/063,0.003,0.009,,,,,,3,1/2/4,,,0,0,,,
GSF2303-EFCC17_6282019,fantail,2019,June,F,40.6,0.95,4,026/054/055/087,0.003,0.009,,,,,,2,2/4,,,0,0,,,
GSF2303-EFCC18_6282019,fantail,2019,June,F,41.85,1.2,5,012/028/054/055/088,0.003,0.009,,,,,,4,1/2/3/4,,,0,0,,,
GSF2303-EFCC19_6282019,fantail,2019,June,F,38.1,0.87,5,007/028/054/055/124,0.003,0.009,,,,,,4,1/2/3/4,,,0,0,,,
GSF2303-EFCC20_6282019,fantail,2019,June,F,33.87,0.68,4,028/054/055/089,0.003,0.009,,,,,,3,1/2/4,,,0,0,,,
GSF2303-EFCC1_6282019,fantail,2019,June,F,48.25,1.43,3,007/054/124,0.003,0.009,,,,,,2,3/4,,,0,0,,,
GSF2303-EFCC3_6282019,fantail,2019,June,M,43.2,1.25,2,024/025,0.003,0.009,,,,,,1,1,,,0,0,,,
GSF2303-EFCC4_6282019,fantail,2019,June,M,45.02,1.36,2,081/091,0.003,0.009,,,,,,1,1,,,0,0,,,
GSF2303-EFCC5_6282019,fantail,2019,June,M,39.43,1.08,1,054,0.003,0.009,,,,,,1,1,,,0,0,,,
GSF2303-EFCC6_6282019,fantail,2019,June,F,42.34,1.23,1,063,0.006,0.018,,,,,,1,1,,,0,0,,,
GSF2303-EFCC7_6282019,fantail,2019,June,M,39.42,1.08,3,054/055/089,0.003,0.009,,,,,,3,1/2/4,,,0,0,,,
GSF2303-EFCC8_6282019,fantail,2019,June,F,43.28,1.57,3,012/054/055,0.006,0.009,,,,,,3,2/3/4,,,0,0,,,
GSF2303-EFCC9_6282019,fantail,2019,June,M,41.46,0.9,2,025/026,0.006,0.018,,,,,,2,1/4,,,0,0,,,
GSF2303-EFCC10_6282019,fantail,2019,June,F,40.8,1.13,1,028,0.032,0.083,,,,,,1,1,,,0,0,,,
GSF2303-EFCC12_6282019,fantail,2019,June,M,41.19,1.01,2,026/055,0.003,0.009,,,,,,2,2/4,,,0,0,,,
GSF2303-EFCC5_3102019,fantail,2019,March,F,45.9,1.4,4,001/033/063/123,0.003,0.009,,,,,,2,1/4,,,0,3,,,
GSF2303-EFCC7_3102019,fantail,2019,March,F,44.8,1.17,6,028/054/078/088/099/124,0.003,0.009,,,,,,3,1/3/4,,,0,0,,,
GSF2303-EFCC6_3102019,fantail,2019,March,F,44,1.12,1,024,0.019,0.055,,,,,,1,1,,,0,5,,,
GSF2450-B3-EFCC11_3162020,fantail,2020,March,F,45.57,1.61,2,024/028,0.009,0.028,,,,,,1,1,,,11,0,,,
GSF2450-D3-EFCC13_3162020,fantail,2020,March,F,36.81,0.93,2,026/106,0.013,0.037,,,,,,1,1/4,,,2,4,,,
GSF2450-E3-EFCC14_3162020,fantail,2020,March,M,40.58,1.07,3,026/063/106,0.003,0.009,,,,,,2,1/4,,,6,0,,,
GSF2450-F3-EFCC15_3162020,fantail,2020,March,F,38.88,0.83,1,107,0.003,0.009,,,,,,1,1,,,0,0,,,
GSF2450-H3-EFCC17_3162020,fantail,2020,March,F,36.58,0.79,1,050,0.003,0.009,,,,,,1,1,,,1,0,,,
GSF2450-B4-EFCC19_3162020,fantail,2020,March,F,36.66,0.82,1,108,0.009,0.028,,,,,,1,1,,,3,0,,,
GSF2450-D4-EFCC19_3102019,fantail,2019,March,F,37.2,0.73,3,028/050/092,0.003,0.009,,,,,,2,1/3,,,0,0,,,
GSF2450-E4-EFCC18_3102019,fantail,2019,March,F,35.9,0.57,4,011/082/109/124,0.003,0.009,,,,,,2,1/3,,,0,0,,,
GSF2450-F4-EFCC17_3102019,fantail,2019,March,F,37.4,0.75,1,050,0.003,0.009,,,,,,1,1,,,0,1,,,
GSF2450-G4-EFCC16_3102019,fantail,2019,March,F,36.1,0.76,1,108,0.009,0.028,,,,,,1,1,,,1,1,,,
GSF2450-A5-EFCC14_3102019,fantail,2019,March,F,38.2,0.69,4,025/050/092/106,0.003,0.009,,,,,,2,1/3,,,1,0,,,
GSF2450-C5-EFCC1_3102019,fantail,2019,March,F,48.2,1.51,2,063/106,0.003,0.009,,,,,,1,1,,,0,0,,,
GSF2450-E5-EFCC12_3102019,fantail,2019,March,F,38.7,0.8,2,024/028,0.009,0.028,,,,,,1,1,,,0,0,,,
GSF2450-G5-EFCC3_3102019,fantail,2019,March,F,48.9,1.47,2,106/110,0.003,0.009,,,,,,1,1,,,1,0,,,
